قَلِيلاً مِن;a little of
حَالاً;immediately
مُبكراً;early
معاً;together
عادةً;usually
حقاً;really
أحياناً;sometimes
أمس;yesterday
غَداً;tomorrow
حَقَّاً؟;really?
جِدَّاً;very
مُتأخراً;late
الآن;now
مَتَى;when
قَلِيلاً;a little
أيضاً;also
احياناً;sometimes
أبَداً;never
قَرِيباً;soon
لَا;no
لَم;did not
هُمَّ;they/them
هُناك;there
أنتُم;you (plural)
بِجانِب;beside
عِندَك;with you
مَعَ;with
عِنْد;at
لدي;I have
غَيرَ;other than
نَعَم;yes
هَذَا;this
أَيْ;which
مُمكن أن;it is possible that
لِلَمدرسَة;to the school
كَثِيراً مِن;a lot of
هُنا;here
أكثر مِن;more than
مَا;what
فِي;in
بِكَم;how much
نَعم ؟;yes
شُكراً;Thank you
نَا;our
انا;I
وا;and
هَل …?;Is it...?, Do...?
لِماذا;why
فقط;only
أنتَ;you
إنتَ;you (masculine)
بِجانِبُك;beside you
قَد;may, indeed, already
سَوْفَ;will
الَّتِي;which
لِ المدرسَة;to the school
رُبَّما;perhaps
كَم;how much
أا;uh-oh
أنَا;I
مَاذَا;what
هُوَّ;he
وَلا;and not / nor
بَعد ذَلِك;after that
هَذِهِ;this (feminine singular)
أيْنَ;where
نَحنُ;we
ال;the
بِسَبَب;because of
إذا;if
بِخَير;well
لدينا;we have
لَكِن;but
لَن;will not
كَيْفَ;how
شُو;what
مَن;who
عِندي;I have
لَقد;indeed
إلى;to
الذِي;which
أَو;or
عِندَما;when
حَيْثُ;where
